#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK103	BRK104	BRK105	BRK106	BRK107	BRK108	BRK109	BRK11	BRK110	BRK111	BRK112	BRK113	BRK114	BRK115	BRK116	BRK117	BRK118	BRK119	BRK12	BRK120	BRK121	BRK122	BRK123	BRK124	BRK125	BRK126	BRK127	BRK128	BRK129	BRK13	BRK130	BRK131	BRK132	BRK133	BRK134	BRK135	BRK136	BRK137	BRK138	BRK139	BRK14	BRK140	BRK141	BRK142	BRK143	BRK144	BRK145	BRK147	BRK148	BRK149	BRK15	BRK150	BRK151	BRK152	BRK154	BRK155	BRK156	BRK157	BRK158	BRK159	BRK16	BRK160	BRK161	BRK162	BRK164	BRK165	BRK166	BRK167	BRK168	BRK169	BRK17	BRK171	BRK172	BRK173	BRK174	BRK175	BRK176	BRK177	BRK178	BRK179	BRK18	BRK180	BRK181	BRK182	BRK183	BRK184	BRK185	BRK186	BRK187	BRK188	BRK189	BRK19	BRK190	BRK191	BRK192	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96	BRK97	BRK98	BRK99
OTU_1266	5	2	0	4	2	8	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	1	2	1	0	9	6	1	2	0	0	0	0	0	1	4	0	0	0	0	0	0	3	0	0	0	2	0	2	0	1	5	0	2	0	1	6	0	2	0	0	2	0	2	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
OTU_1267	0	0	0	0	0	0	0	0	0	0	0	2	1	0	7	1	6	6	3	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	9	5	19	2	0	16	0	1	0	23	5	18	0	3	0	6	0	0	2	0	0	4	0	0	0	7	7	1	0	0	37	11	5	1	0	7	5	2	18	0	0	0	0	0	1	0	0	0	8	0	0	4	8	0	0	0	13	3	5	0	13	2	7	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	11
OTU_1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	12	16	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1270	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	7	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0
OTU_1271	4	3	2	0	0	0	0	3	1	2	340	3	99	111	19	39	95	5	29	144	0	284	3	263	2	0	0	0	24	0	0	1	2	445	2	3	4	1	475	54	532	71	0	41	98	44	591	67	168	138	393	14	416	0	35	13	575	0	1	46	434	124	422	3	12	34	52	126	515	192	322	4	52	0	2	135	285	0	3	2	0	2	105	0	1	2	19	157	0	112	125	18	23	0	82	159	40	3	128	183	132	252	3	1	2	0	0	3	2	1	3	0	3	0	0	3	2	1	3	0	7	3	1	1	3	2	3	7	3	4	4	6	5	2	0	0	2	1	3	2	5	8	1	4	0	3	2	4	8	0	7	3	4	1	3	4	2	6	4	1	5	7	8	6	6	0	1	1	11	4	3	5	4	6	4	5	4	2	2	2	7	3	0	1	2	183	174	2
OTU_1272	9	2	1	120	9	4	1	5	1	4	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	94	3	2	1	0	0	0	1	1	5	4	0	0	0	0	9	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	97	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1273	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	2	0	2	10	32	0	0	5	12	0	18	0	5	0	0	2	0	0	0	10	0	0	0	0	0	0	0
OTU_1274	0	0	0	0	0	0	0	0	0	0	9	1	3	4	1	0	0	0	2	0	0	7	0	2	0	0	1	0	2	0	0	0	0	5	0	0	0	0	3	0	7	5	0	5	1	2	7	1	3	0	6	0	5	0	0	4	6	0	0	1	3	4	3	0	4	3	4	4	6	3	4	1	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	2	0	5	2	2	0	0	3	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0
OTU_1275	4	0	0	3	1	6	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	6	1	0	0	1	0	0	3	1	0	0	2	2	4	0	1	0	0	4	1	14	1	1	3	0	1	1	0	1	2	1	0	7	2	0	0	1	17	0	1	0	0	0	1	1	1	0	0	3	0	0	0	0	1	3	0	0	3	2	1	0	3	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
