BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK171;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;B;PigB;C2299 PigB;DUP104;s159
BRK172;2;1;2;Soybean + Seaweed;n;y;Fermented;EP2299;Pig;A;PigA;EP2299 PigA;DUP113;s182
BRK173;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;A;PigA;C100 PigA;DUP95;s139
BRK174;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP200;Pig;C;PigC;XYL2 EP200 PigC;DUP114;s245
BRK175;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP200;Pig;B;PigB;XYL2 EP200 PigB;DUP115;s244
BRK176;2;1;2;Xylan;y;n;Unfermented;XYL1;Pig;C;PigC;XYL1 PigC;DUP116;s192
BRK177;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Pig;A;PigA;XYL1 EP1199 PigA;DUP90;s212
BRK178;2;1;2;Soybean + Seaweed;n;y;Fermented;EP2299;Pig;A;PigA;EP2299 PigA;DUP113;s181
BRK179;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP2299;Pig;A;PigA;XYL2 EP2299 PigA;DUP117;s247
BRK180;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP100;Pig;B;PigB;XYL1 EP100 PigB;DUP69;s207
BRK181;2;1;2;Xylan;y;n;Unfermented;XYL1;Pig;B;PigB;XYL1 PigB;DUP107;s190
BRK182;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Pig;A;PigA;XYLC EP2299 PigA;DUP109;s272
BRK183;2;1;2;Soybean;n;n;Unfermented;C200;Pig;A;PigA;C200 PigA;DUP118;s151
BRK184;2;1;2;Soybean;n;n;Unfermented;C200;Pig;C;PigC;C200 PigC;DUP82;s155
BRK185;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;C;PigC;C2299 PigC;DUP112;s161
BRK186;2;1;2;Soybean + Seaweed;n;y;Fermented;EP200;Pig;C;PigC;EP200 PigC;DUP98;s179
BRK187;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP2299;Pig;C;PigC;XYL2 EP2299 PigC;DUP119;s251
BRK188;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP200;Pig;A;PigA;XYLC EP200 PigA;DUP110;s265
BRK189;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;PigB;C200 PigB;DUP63;s154
BRK190;2;1;2;;;n;Unfermented;PCRCON;PCRCON;PCRCON;PCRCONPCRCON;PCRCON PCRCONPCRCON;DUP60;sPCR C
BRK191;2;1;2;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;sP6N
BRK192;2;1;2;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;sP6P
