"OTU_ID"	"BRK01"	"BRK02"	"BRK03"	"BRK04"	"BRK05"	"BRK06"	"BRK07"	"BRK08"	"BRK09"	"BRK10"	"BRK100"	"BRK101"	"BRK102"	"BRK103"	"BRK104"	"BRK105"	"BRK106"	"BRK107"	"BRK108"	"BRK109"	"BRK11"	"BRK110"	"BRK111"	"BRK112"	"BRK113"	"BRK114"	"BRK115"	"BRK117"	"BRK118"	"BRK119"	"BRK12"	"BRK120"	"BRK121"	"BRK122"	"BRK123"	"BRK124"	"BRK125"	"BRK126"	"BRK127"	"BRK128"	"BRK129"	"BRK13"	"BRK130"	"BRK131"	"BRK132"	"BRK133"	"BRK134"	"BRK135"	"BRK14"	"BRK15"	"BRK16"	"BRK17"	"BRK18"	"BRK19"	"BRK20"	"BRK21"	"BRK22"	"BRK23"	"BRK24"	"BRK25"	"BRK26"	"BRK27"	"BRK28"	"BRK29"	"BRK30"	"BRK31"	"BRK32"	"BRK33"	"BRK34"	"BRK35"	"BRK36"	"BRK37"	"BRK38"	"BRK39"	"BRK40"	"BRK41"	"BRK42"	"BRK43"	"BRK44"	"BRK45"	"BRK46"	"BRK47"	"BRK48"	"BRK49"	"BRK50"	"BRK51"	"BRK52"	"BRK53"	"BRK54"	"BRK55"	"BRK56"	"BRK57"	"BRK58"	"BRK59"	"BRK60"	"BRK61"	"BRK62"	"BRK63"	"BRK64"	"BRK65"	"BRK66"	"BRK67"	"BRK68"	"BRK69"	"BRK70"	"BRK71"	"BRK72"	"BRK73"	"BRK74"	"BRK75"	"BRK76"	"BRK77"	"BRK78"	"BRK80"	"BRK81"	"BRK82"	"BRK83"	"BRK84"	"BRK97"	"BRK98"	"BRK99"
"OTU_1344"	0	0	0	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	1	5	2	0	3	0	1	0	0	0	5	2	6	10	14	1	0	2	4	2	2	9	1	0	2	3	1	2	1	3	0	1	0	3	2	1	0	4	1	4	0	0	0	4	0	0	10	5	1	1	2	2	0	1	0	0	6	0	0	0	0	2	0	0	0
"OTU_3419"	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	3	0	0	0	1	3	6	7	1	5	4	0	1	0	2	0	1	0	5	0	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
"OTU_2399"	0	1	0	0	6	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	17	2	0	10	3	2	0	4	0	6	0	4	4	3	0	0	1	1	0	1	3	4	2	16	1	2	0	0	2	1	0	1	4	0	2	0	1	1	1	2	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
"OTU_2385"	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	3	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	1	0	4	0	1	5	0	2	0	0	3	0	0	0	0	2	0	3	16	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0
"OTU_1253"	0	0	0	0	2	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	3	1	1	1	1	1	2	1	0	0	0	1	0	2	1	2	1	0	2	0	0	1	0	4	3	0	0	2	1	1	2	55	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0
"OTU_3409"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	1	24	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_413"	0	0	1	0	0	0	0	1	0	0	31	44	34	108	34	66	31	84	44	110	0	31	82	32	51	184	7	482	81	41	0	148	139	191	234	629	76	69	178	271	118	1	141	70	58	134	73	7	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	2	1	0	0	0	0	0	1	2	0	0	0	33	49	21
"OTU_380"	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU_1063"	0	0	0	0	0	0	0	0	0	0	23	5	16	24	7	21	7	19	7	6	0	0	1	3	3	4	0	1	14	0	0	1	2	0	8	1	2	36	28	15	5	0	62	12	0	22	23	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	35	1
"OTU_1200"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	36	0	0	0	0	0	0	0	28	0	0	0	0	7	0	5	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	12	0	8	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0
