#OTU ID	MAC23_MAC01_S1	MAC23_MAC02_S2	MAC23_MAC03_S3	MAC23_MAC04_S4	MAC23_MAC05_S5	MAC23_MAC06_S6	MAC23_MAC07_S7	MAC23_MAC08_S8	MAC23_MAC09_S9	MAC23_MAC10_S10	MAC23_MAC11_S11	MAC23_MAC12_S12	MAC23_MAC13_S13	MAC23_MAC14_S14	MAC23_MAC15_S15	MAC23_MAC16_S16	MAC23_MAC17_S17	MAC23_MAC18_S18	MAC23_MAC19_S19	MAC23_MAC20_S20	MAC23_MAC21_S21	MAC23_MAC22_S22	MAC23_MAC23_S23	MAC23_MAC24_S24	MAC23_MAC25_S25	MAC23_MAC26_S26	MAC23_MAC27_S27	MAC23_MAC28_S28	MAC23_MAC29_S29	MAC23_MAC30_S30	MAC23_MAC32_S32	MAC23_MAC31_S31	MAC23_MAC49_S49	MAC23_MAC50_S50	MAC23_MAC51_S51	MAC23_MAC52_S52	MAC23_MAC53_S53	MAC23_MAC54_S54	MAC23_MAC55_S55	MAC23_MAC56_S56	MAC23_MAC57_S57	MAC23_MAC58_S58	MAC23_MAC59_S59	MAC23_MAC60_S60	MAC23_MAC61_S61	MAC23_MAC62_S62	MAC23_MAC63_S63	MAC23_MAC64_S64	MAC23_MAC65_S65	MAC23_MAC66_S66	MAC23_MAC67_S67	MAC23_MAC68_S68	MAC23_MAC69_S69	MAC23_MAC70_S70	MAC23_MAC71_S71	MAC23_MAC72_S72	MAC23_MAC73_S73	MAC23_MAC74_S74	MAC23_MAC75_S75	MAC23_MAC76_S76	MAC23_MAC77_S77	MAC23_MAC78_S78	MAC23_MAC79_S79	MAC23_MAC80_S80	MAC23_MAC81_S81	MAC23_MAC82_S82	MAC23_MAC83_S83	MAC23_MAC84_S84	MAC23_MAC85_S85	MAC23_MAC86_S86	MAC23_MAC87_S87	MAC23_MAC88_S88	MAC23_MAC89_S89	MAC23_MAC90_S90	MAC23_MAC91_S91	MAC23_MAC92_S92	MAC23_MAC93_S93	MAC23_MAC94_S94	MAC23_MAC95_S95	MAC23_MAC96_S96	taxonomy
zOTU_760	2	7	4	6	8	3	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	10	2	2	11	3	3	15	16	11	7	2	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis
zOTU_761	0	0	0	1	0	0	0	0	1	0	2	1	0	2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	28	13	9	5	11	18	1	6	2	7	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
zOTU_762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	33	14	29	29	15	12	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria
zOTU_763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	26	27	22	10	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
zOTU_764	2	3	1	2	0	4	1	1	1	2	4	0	1	2	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	5	3	3	0	6	6	5	11	12	12	14	2	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
zOTU_765	0	0	0	0	0	0	0	0	8	2	21	18	14	13	32	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
zOTU_766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	22	29	24	5	13	22	22	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__Akkermansia_muciniphila
zOTU_767	2	0	2	1	7	3	1	1	0	4	5	1	1	3	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	5	0	4	7	10	16	16	6	14	5	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
zOTU_768	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	23	6	7	6	10	8	5	9	8	11	12	9	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
zOTU_769	10	18	12	20	36	14	13	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	0	2	0	0	1	3	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
zOTU_77	179	412	311	430	426	322	323	320	144	177	242	206	212	177	475	849	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	0	121	396	391	220	189	83	277	330	143	265	207	248	269	103	119	223	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	1	0	1	0	0	1	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia
zOTU_770	3	8	10	8	6	6	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	15	10	6	1	13	6	3	4	6	3	4	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria
zOTU_771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	9	30	25	13	12	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius
zOTU_772	4	15	6	5	10	15	16	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	2	4	1	12	9	7	6	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus
zOTU_773	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	14	4	6	2	4	9	7	25	7	13	8	9	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_desmolans
