OTU_ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_4151	0	7	6	7	4	15	6	7	0	0	0	0	0	0	0	1	3	5	0	3	3	2	0	2	0	2	2	6	4	4	5	6	2	8	0	11	3	5	12	9	0	0	0	0	0	0	0	0	0	4	4	3	4	4	3	2	1	2	2	2	3	1	1	3	4	5	9	1	10	6	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4152	232	155	246	164	203	144	130	161	1	0	1	0	0	1	2	1	34	24	18	18	24	13	32	13	14	14	20	10	15	8	19	6	8	12	5	5	16	9	15	11	75	116	72	88	85	64	80	59	8	7	4	4	10	6	6	4	10	2	12	10	10	14	6	11	82	48	67	98	88	74	113	63	1	25	2	11	0	2	4	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1
OTU_4153	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	63	58	64	22	61	33	75
OTU_4154	6	6	7	5	4	5	4	7	0	1	0	0	0	0	0	0	8	5	5	6	1	3	6	8	10	5	1	4	3	5	3	3	2	2	0	1	0	4	1	2	9	8	6	5	8	4	5	3	41	19	32	23	32	24	21	20	21	14	13	11	12	16	8	22	4	5	4	8	4	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU_4155	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	3	3	2	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	3	5	7	6	8	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_4156	9	8	10	4	6	7	7	13	3	3	7	4	5	4	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	7	1	5	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4158	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	2	0	0	0	1	0	0	1	2	0	0	2	2	7	6	2	0	2	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	3	3	2	5	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4159	29	21	37	22	19	15	12	20	0	0	0	0	0	2	0	0	3	10	7	2	2	5	9	7	21	3	18	12	5	12	12	7	1	0	0	0	0	0	0	1	73	87	44	59	80	47	57	58	1	2	1	0	3	3	0	2	1	0	0	1	0	0	1	1	8	3	5	7	4	5	6	6	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
OTU_4160	0	2	0	2	2	1	0	1	0	2	1	0	1	0	3	1	245	200	198	158	199	185	179	186	1	1	1	2	2	1	2	0	0	2	0	1	3	0	3	1	1	1	2	1	1	2	2	3	1	2	2	2	1	1	3	1	1	1	0	1	2	0	0	0	2	1	1	2	0	0	3	1	0	0	0	0	0	0	0	2	2	0	1	0	1	2	1	3	3	1	0	0	1	0	2
OTU_4161	0	0	2	1	0	1	1	0	0	0	0	0	0	0	2	0	284	331	345	251	284	254	318	221	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU_4162	1	0	0	1	0	1	0	0	93	111	79	151	145	112	87	89	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	2	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	1	0	0	0	0	1
OTU_4163	0	0	0	0	0	0	0	0	4	4	6	4	10	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4164	2404	2005	2985	2371	2350	2067	1596	2177	3	10	14	9	12	13	14	13	19	27	14	14	18	19	16	25	4114	3551	4461	4883	4595	4022	4419	2926	88	85	45	86	95	103	91	84	1598	1760	1517	1416	1656	1175	1292	1249	14	23	18	25	19	35	36	23	840	804	1048	1019	873	884	880	683	4974	2872	4041	5202	5169	4784	5339	4455	2	10	4	8	5	3	5	8	10	13	12	14	11	9	15	6	7	9	12	3	7	14	18
OTU_4165	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	1	3	6	7	2	2	2	0	2	4	2	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4166	5	1	2	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	6	5	3	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
